"Committee Code","Committee Type","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","ELECTION_YEAR","Officer Position","Last Name","First Name","Middle Name","SCHED_ID","Sum Contrib A","Qty Contrib A","Sum Contrib B","Qty Contrib B","Sub Unitemized Contrib","Qty UnItemized Contrib","Sum Contrib C","Qty Contrib C","Total Contrib","Total Qty Contrib","Sum Exp B","Sum Exp D","Begin Loan Bal","Sum Loans Recvd E","Sum Loans Paid E","End Loan Bal","Sum Unitemized Contrib2","Qty Unitemized Contrib2","Sum Unitemized Contrib2 Exp"
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","10/15/1999","OCTN15_99","09/01/1999","09/30/1999","E","R","","10/21/1999","T","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","0.00","0","0.00","0","0.00","0","5.60","0","0.00","0","0.00","325.00","0.00","0.00","0.00","0.00","","",""
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","10/25/1999","OCTN25_99","10/01/1999","10/20/1999","E","R","","11/02/1999","T","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","0.00","0","0.00","0","100.00","1","0.00","0","100.00","1","0.00","750.00","0.00","0.00","0.00","0.00","","",""
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","12/17/1999","T","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","1100.00","4","0.00","0","400.00","4","0.00","0","1500.00","8","0.00","1750.00","0.00","0.00","0.00","0.00","","",""
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","04/15/1999","APRN15_99","01/01/1999","03/01/1999","D","A","","08/24/2000","T","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","4150.00","17","0.00","0","2725.00","28","68.64","0","6875.00","45","0.00","1213.73","0.00","0.00","0.00","0.00","","",""
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","01/15/1999","JANN15_99","11/30/1998","12/31/1998","E","R","","09/10/2004","L","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","250.00","1","0.00","0","750.00","8","3.33","0","1000.00","9","0.00","130.00","0.00","0.00","0.00","0.00","","",""
"91-157","VAPAC-Independent Insurance Agents Of VA Political Affairs","1999","01/18/2000","JANN18_00","12/01/1999","12/31/1999","E","R","","09/29/2004","T","0","Treasurer","Bradshaw, Jr. MAM","Robert","N","G","250.00","1","0.00","0","750.00","8","3.33","0","1000.00","9","0.00","130.00","0.00","0.00","0.00","0.00","","",""
"91-191","Eye PAC - VA Ophthalmology","1999","07/15/1999","JULN15_99","05/27/1999","06/30/1999","D","R","","07/08/1999","T","0","Treasurer","Whitehead","D","C","G","2500.00","10","0.00","0","0.00","0","27.61","0","2500.00","10","0.00","7775.00","0.00","0.00","0.00","0.00","","",""
"91-191","Eye PAC - VA Ophthalmology","1999","10/25/1999","OCTN25_99","10/01/1999","10/20/1999","E","R","","11/17/1999","T","0","Treasurer","Whitehead","D","C","G","250.00","1","0.00","0","0.00","0","0.00","0","250.00","1","0.00","2250.00","0.00","0.00","0.00","0.00","","",""
"91-191","Eye PAC - VA Ophthalmology","1999","09/15/1999","SEPN15_99","07/01/1999","08/31/1999","E","R","","04/18/2000","T","0","Treasurer","Whitehead","D","C","G","250.00","1","0.00","0","200.00","2","23.22","0","450.00","3","0.00","7024.60","0.00","0.00","0.00","0.00","","",""
"91-191","Eye PAC - VA Ophthalmology","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","07/13/2000","L","0","Treasurer","Whitehead","D","C","G","750.00","3","0.00","0","0.00","0","7.00","0","750.00","3","0.00","512.75","0.00","0.00","0.00","0.00","","",""
"93-062","6th Congressional  District Democratic Committee of Virginia","1999","10/25/1999","OCTN25_99","10/01/1999","10/20/1999","E","R","","11/17/1999","T","0","Treasuer","Blackwell","Dorothy","","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","2350.00","0.00","0.00","0.00","0.00","","",""
"93-062","6th Congressional  District Democratic Committee of Virginia","1999","09/15/1999","SEPN15_99","07/01/1999","08/31/1999","E","R","","11/17/1999","T","0","Treasuer","Blackwell","Dorothy","","G","1099.99","11","0.00","0","2221.74","112","0.00","0","3321.73","123","0.00","546.18","0.00","0.00","0.00","0.00","","",""
"93-062","6th Congressional  District Democratic Committee of Virginia","1999","10/15/1999","OCTN15_99","09/01/1999","09/30/1999","E","R","","03/10/2000","T","0","Treasuer","Blackwell","Dorothy","","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","3237.74","0.00","0.00","0.00","0.00","","",""
"95-031","Democratic Legislative Campaign Committee","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","05/17/2000","T","0","Treasurer","Curtis","Greg","","G","73318.30","13","0.00","0","0.00","0","0.00","0","73318.30","13","0.00","73318.30","0.00","0.00","0.00","0.00","","",""
"99-003","Campaign for Virginia`s Future","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","12/21/1999","T","0","Director","Kincaid","Anne","B","G","6500.00","7","0.00","0","810.00","37","283.40","0","7310.00","44","0.00","72792.74","0.00","0.00","0.00","0.00","","",""
"99-007","Fund for the Future of Virginia","1999","09/15/1999","SEPN15_99","07/01/1999","08/31/1999","E","R","","10/12/1999","L","0","Treasurer","Brudvig","Catherine","","G","20250.00","36","0.00","0","1310.00","19","320.06","0","21560.00","55","0.00","48691.35","0.00","14100.00","0.00","14100.00","","",""
"99-007","Fund for the Future of Virginia","1999","10/15/1999","OCTN15_99","09/01/1999","09/30/1999","E","R","","11/02/1999","T","0","Treasurer","Brudvig","Catherine","","G","21250.00","7","0.00","0","100.00","1","67.41","0","21350.00","8","0.00","15648.90","14100.00","0.00","0.00","14100.00","","",""
"99-007","Fund for the Future of Virginia","1999","06/01/1999","JUNN01_99","04/01/1999","05/26/1999","E","R","","11/03/1999","L","0","Treasurer","Brudvig","Catherine","","G","8200.00","7","0.00","0","585.00","9","53.66","0","8785.00","16","0.00","14474.56","0.00","0.00","0.00","0.00","","",""
"99-007","Fund for the Future of Virginia","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","12/17/1999","T","0","Treasurer","Brudvig","Catherine","","G","8825.00","6","0.00","0","0.00","0","0.00","0","8825.00","6","0.00","14130.00","14100.00","3000.00","0.00","17100.00","","",""
"99-051","The Leadership Political Action Committee","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","12/17/1999","T","0","Treasurer","Selph","John","","G","3925.00","9","0.00","0","2035.00","40","500.00","0","5960.00","49","0.00","6872.92","0.00","0.00","0.00","0.00","","",""
"99-076","Vote 99 PAC","1999","10/25/1999","OCTN25_99","10/01/1999","10/20/1999","E","R","","11/17/1999","T","0","Treasurer","Crouch","Clara","J","G","1250.00","3","0.00","0","0.00","0","0.00","0","1250.00","3","0.00","2512.02","0.00","0.00","0.00","0.00","","",""
"99-076","Vote 99 PAC","1999","12/02/1999","DECN02_99","10/21/1999","11/25/1999","E","R","","12/17/1999","T","0","Treasurer","Crouch","Clara","J","G","11635.00","3","0.00","0","0.00","0","0.00","0","11635.00","3","0.00","11606.33","0.00","0.00","0.00","0.00","","",""
