"Committee Code","Committee Type","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","ELECTION_YEAR","Officer Position","Last Name","First Name","Middle Name","SCHED_ID","Sum Contrib A","Qty Contrib A","Sum Contrib B","Qty Contrib B","Sub Unitemized Contrib","Qty UnItemized Contrib","Sum Contrib C","Qty Contrib C","Total Contrib","Total Qty Contrib","Sum Exp B","Sum Exp D","Begin Loan Bal","Sum Loans Recvd E","Sum Loans Paid E","End Loan Bal","Sum Unitemized Contrib2","Qty Unitemized Contrib2","Sum Unitemized Contrib2 Exp"
"91-107","Virginia Society for Human Life PAC","2009","04/15/2009","APRP15_09","01/01/2009","03/31/2009","E","R","0","04/08/2009","T","0","Treasurer","Fastabend","William","","G","0.00","0","0.00","0","0.00","0","0.00","","0.00","0","0.00","60.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-107","Virginia Society for Human Life PAC","2009","07/15/2009","JULP15_09","04/01/2009","06/30/2009","E","R","0","07/08/2009","T","0","Treasurer","Fastabend","William","","G","500.00","1","0.00","0","0.00","0","0.00","","500.00","1","0.00","36.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-107","Virginia Society for Human Life PAC","2009","10/15/2009","OCTP15_09","07/01/2009","09/30/2009","E","R","0","10/09/2009","T","0","Treasurer","Fastabend","William","","G","5225.00","7","112.63","1","4313.10","110","0.00","","9650.73","118","112.63","1775.57","0.00","0.00","0.00","0.00","0.00","0",""
"91-107","Virginia Society for Human Life PAC","2009","01/19/2010","JANP19_10","10/01/2009","12/31/2009","E","R","0","01/06/2010","T","0","Treasurer","Fastabend","William","","G","1280.00","8","250.00","1","5302.48","199","0.00","","6832.48","208","250.00","14872.19","0.00","0.00","0.00","0.00","0.00","0",""
"91-108","Career Schools PAC","2009","04/15/2009","APRP15_09","01/01/2009","03/31/2009","E","R","0","04/14/2009","T","0","Treasurer","Walton","M. Lauck","","G","3000.00","2","0.00","0","101.80","4","0.00","","3101.80","6","0.00","1015.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-108","Career Schools PAC","2009","07/15/2009","JULP15_09","04/01/2009","06/30/2009","E","R","0","07/13/2009","T","0","Treasurer","Walton","M. Lauck","","G","0.00","0","0.00","0","1.81","3","0.00","","1.81","3","0.00","165.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-108","Career Schools PAC","2009","10/15/2009","OCTP15_09","07/01/2009","09/30/2009","E","R","0","10/12/2009","T","0","Treasurer","Walton","M. Lauck","","G","0.00","0","0.00","0","1.68","3","0.00","","1.68","3","0.00","3415.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-108","Career Schools PAC","2009","01/19/2010","JANP19_10","10/01/2009","12/31/2009","E","R","0","01/18/2010","T","0","Treasurer","Walton","M. Lauck","","G","0.00","0","0.00","0","0.00","0","1.44","","0.00","0","0.00","959.75","0.00","0.00","0.00","0.00","0.00","0",""
"91-109","Chesterfield Education Association PAC","2009","04/15/2009","APRP15_09","01/01/2009","03/31/2009","E","R","0","04/14/2009","T","0","Treasurer","Anzelmo","Sarah","","G","0.00","0","0.00","0","858.24","127","0.00","","858.24","127","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0",""
"91-109","Chesterfield Education Association PAC","2009","07/15/2009","JULP15_09","04/01/2009","06/30/2009","E","R","0","07/14/2009","T","0","Treasurer","Anzelmo","Sarah","","G","0.00","0","0.00","0","30.49","16","0.00","","30.49","16","0.00","42.99","0.00","0.00","0.00","0.00","0.00","0",""
