"Committee Code","Committee Type","Report Year","Report Due Date","Report Code","Report Start Date","Report Ending Date","Fling Source Type","Filing Type","Amended Count","Date Received","Filing Status","ELECTION_YEAR","Officer Position","Last Name","First Name","Middle Name","SCHED_ID","Sum Contrib A","Qty Contrib A","Sum Contrib B","Qty Contrib B","Sub Unitemized Contrib","Qty UnItemized Contrib","Sum Contrib C","Qty Contrib C","Total Contrib","Total Qty Contrib","Sum Exp B","Sum Exp D","Begin Loan Bal","Sum Loans Recvd E","Sum Loans Paid E","End Loan Bal","Sum Unitemized Contrib2","Qty Unitemized Contrib2","Sum Unitemized Contrib2 Exp"
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2002","10/28/2002","OCTP28_02","01/01/2002","10/23/2002","E","R","","10/29/2002","T","0","Treasurer","Mathieu","Jacques","C","G","0.00","0","0.00","0","0.00","0","500.00","0","0.00","0","0.00","1500.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2002","12/05/2002","DECP05_02","10/24/2002","11/28/2002","E","R","","12/04/2002","T","0","Treasurer","Mathieu","Jacques","C","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-124","Amalgamated Transit Union Committee on Political Education in Virginia","2002","01/15/2003","JANP15_03","11/29/2002","12/31/2002","E","R","","01/21/2003","T","0","Treasurer","Mathieu","Jacques","C","G","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-125","HBAV Home Builders Association of Virginia","2002","10/28/2002","OCTP28_02","01/01/2002","10/23/2002","E","R","","11/04/2002","T","0","Treasurer","Toalson","Michael","","G","66420.00","65","0.00","0","3127.00","36","0.00","0","69547.00","101","0.00","48028.65","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-125","HBAV Home Builders Association of Virginia","2002","12/05/2002","DECP05_02","10/24/2002","11/28/2002","E","R","","12/06/2002","T","0","Treasurer","Toalson","Michael","","G","15418.00","8","0.00","0","675.00","8","0.00","0","16093.00","16","0.00","4058.68","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-125","HBAV Home Builders Association of Virginia","2002","01/15/2003","JANP15_03","11/29/2002","12/31/2002","E","R","","01/22/2003","T","0","Treasurer","Toalson","Michael","","G","1150.00","4","0.00","0","50.00","2","0.00","0","1200.00","6","0.00","5168.71","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-125","HBAV Home Builders Association of Virginia","2002","10/28/2002","OCTP28_02","01/01/2002","10/23/2002","E","A","","08/21/2003","T","0","Treasurer","Toalson","Michael","","G","66420.00","65","0.00","0","3127.00","36","0.00","0","69547.00","101","0.00","49028.65","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-125","HBAV Home Builders Association of Virginia","2002","10/28/2002","OCTN28_02","10/01/2002","10/23/2002","E","R","","08/21/2003","T","0","Treasurer","Toalson","Michael","","G","66420.00","65","0.00","0","3127.00","36","0.00","0","69547.00","101","0.00","48028.65","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-138","Home Builders Association of Richmond Builders PAC","2002","10/28/2002","OCTP28_02","01/01/2002","10/23/2002","E","R","","11/04/2002","T","0","Treas","Sprigg","Susan","R","G","0.00","0","0.00","0","5550.00","185","353.84","0","5550.00","185","0.00","7842.84","0.00","0.00","0.00","0.00","0.00","0","0.00"
"91-138","Home Builders Association of Richmond Builders PAC","2002","12/05/2002","DECP05_02","10/24/2002","11/28/2002","E","R","","03/31/2003","L","0","Treas","Sprigg","Susan","R","G","0.00","0","0.00","0","1290.00","43","309.61","0","1290.00","43","0.00","3767.84","0.00","0.00","0.00","0.00","0.00","0","0.00"
